"RESOURCE","SIMPLE_NAME","TYPE","ANNOTATION","DATATYPE","LANG","VALUE"
"http://cdm.ovh/rsm/eddy/AreaLocation","AreaLocation","Class","http://www.w3.org/2000/01/rdf-schema#label","","",""
"http://cdm.ovh/rsm/eddy/BaseLocation","BaseLocation","Class","http://www.w3.org/2000/01/rdf-schema#label","","",""
"http://cdm.ovh/rsm/eddy/LinearLocation","LinearLocation","Class","http://www.w3.org/2000/01/rdf-schema#label","","",""
"http://cdm.ovh/rsm/eddy/ListedElement","ListedElement","Class","http://www.w3.org/2000/01/rdf-schema#label","","",""
"http://cdm.ovh/rsm/eddy/ListedLinearElement","ListedLinearElement","Class","http://www.w3.org/2000/01/rdf-schema#label","","",""
"http://cdm.ovh/rsm/eddy/SpotLocation","SpotLocation","Class","http://www.w3.org/2000/01/rdf-schema#label","","",""
"http://cdm.ovh/rsm/eddy/endsAt","endsAt","Data Property","http://www.w3.org/2000/01/rdf-schema#label","","",""
"http://cdm.ovh/rsm/eddy/linearElement","linearElement","Object Property","http://www.w3.org/2000/01/rdf-schema#label","","",""
"http://cdm.ovh/rsm/eddy/listedElement","listedElement","Object Property","http://www.w3.org/2000/01/rdf-schema#label","","",""
"http://cdm.ovh/rsm/eddy/listedLinearElement","listedLinearElement","Object Property","http://www.w3.org/2000/01/rdf-schema#label","","",""
"http://cdm.ovh/rsm/eddy/netElement","netElement","Object Property","http://www.w3.org/2000/01/rdf-schema#label","","",""
"http://cdm.ovh/rsm/eddy/startsAt","startsAt","Data Property","http://www.w3.org/2000/01/rdf-schema#label","","",""
"http://cdm.ovh/rsm/topology/topology#LinearElement","LinearElement","Class","http://www.w3.org/2000/01/rdf-schema#label","","",""
"http://cdm.ovh/rsm/topology/topology#NetElement","NetElement","Class","http://www.w3.org/2000/01/rdf-schema#label","","",""
"https://w3id.org/list#OWLList","OWLList","Class","http://www.w3.org/2000/01/rdf-schema#label","","",""
"https://w3id.org/list#hasContents","hasContents","Object Property","http://www.w3.org/2000/01/rdf-schema#label","","",""
